No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
1,전국,전국,전국,6.5,6.7,7.3,7.5,8.0,8.1,8.3
2,서울,서울,서울,4.9,4.8,5.3,5.1,6.6,5.9,6.3
3,서울,도심,도심,6.2,6.9,6.1,4.2,5.1,5.4,4.8
4,서울,도심,광화문,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,서울,도심,남대문,6.2,14.0,16.5,3.3,3.0,3.0,5.0
6,서울,도심,동대문,11.7,11.7,6.3,10.9,14.9,13.4,13.4
7,서울,도심,명동,2.4,2.4,1.2,1.2,1.2,5.3,5.3
8,서울,도심,방산시장,5.0,5.0,10.5,10.5,10.5,10.5,5.0
9,서울,도심,북촌,25.9,10.1,10.1,0.0,0.0,25.9,0.0
10,서울,도심,서촌,4.0,7.8,4.0,2.5,4.0,4.0,4.0
11,서울,도심,시청,6.6,4.3,4.3,4.3,5.3,4.3,8.1
12,서울,도심,을지로,2.6,2.6,2.6,2.6,2.6,2.6,2.6
13,서울,도심,종로,5.2,7.8,7.8,2.6,2.5,0.0,0.0
14,서울,도심,충무로,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,서울,강남,강남,5.1,4.0,4.0,4.0,5.5,4.7,3.0
16,서울,강남,강남대로,0.0,0.0,15.0,15.0,0.0,0.0,0.0
17,서울,강남,교대역,0.0,0.0,0.0,0.5,0.5,0.5,0.5
18,서울,강남,남부터미널,0.0,0.0,0.0,0.0,0.0,2.0,2.0
19,서울,강남,논현역,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,서울,강남,도산대로,13.2,6.2,0.0,0.0,0.0,0.0,0.0
21,서울,강남,신사역,6.8,6.8,7.6,19.8,26.8,27.5,14.9
22,서울,강남,압구정,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,서울,강남,청담,17.4,14.4,9.6,0.0,12.3,5.8,4.9
24,서울,강남,테헤란로,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,서울,영등포신촌,영등포신촌,2.8,3.2,3.6,3.7,7.7,5.4,6.3
26,서울,영등포신촌,공덕역,1.1,1.1,1.1,1.1,3.2,1.1,10.4
27,서울,영등포신촌,당산역,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,서울,영등포신촌,동교/연남,2.4,2.4,2.4,2.4,2.4,0.0,0.0
29,서울,영등포신촌,망원역,0.0,3.8,10.8,10.2,8.0,1.0,1.0
30,서울,영등포신촌,신촌/이대,9.5,9.5,8.4,8.5,15.1,15.1,15.1
31,서울,영등포신촌,영등포역,1.6,1.6,0.0,0.4,4.0,0.0,0.8
32,서울,영등포신촌,홍대/합정,4.6,4.6,4.6,4.6,14.2,14.2,13.0
33,서울,기타,기타,5.1,4.6,5.1,5.3,6.3,6.4,7.5
34,서울,기타,가락시장,17.2,0.0,0.0,0.0,0.0,0.6,4.9
35,서울,기타,건대입구,0.0,0.0,5.1,15.2,18.2,18.2,11.2
36,서울,기타,경희대,0.0,0.0,0.0,0.0,4.0,4.2,4.3
37,서울,기타,군자,0.0,6.8,6.8,6.8,6.8,6.8,6.8
38,서울,기타,까치산역,3.7,3.7,3.7,7.2,3.7,3.8,3.8
39,서울,기타,노량진,3.4,3.4,5.0,1.7,1.7,1.7,1.7
