No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
1,전국,전국,전국,8.6,8.9,8.7,8.6,8.9,8.7,8.8
2,서울,서울,서울,5.3,5.6,5.2,5.0,5.3,5.1,5.2
3,서울,도심,도심,7.5,9.6,7.5,7.1,7.0,6.8,6.4
4,서울,도심,광화문,4.7,6.4,6.5,3.6,3.5,3.2,2.6
5,서울,도심,남대문,11.6,21.4,18.4,16.4,16.2,15.2,13.3
6,서울,도심,동대문,13.0,12.7,14.6,15.1,14.6,14.8,14.8
7,서울,도심,명동,9.0,7.8,7.6,8.1,8.1,8.2,8.4
8,서울,도심,시청,6.4,6.3,3.3,2.9,2.7,3.3,3.2
9,서울,도심,을지로,7.0,8.4,3.5,5.5,5.5,5.3,5.2
10,서울,도심,종로,2.0,1.9,1.9,2.1,2.1,2.1,2.8
11,서울,도심,충무로,9.6,9.6,7.3,8.4,8.4,8.3,7.8
12,서울,강남,강남,4.7,4.3,4.3,3.8,4.2,4.1,4.9
13,서울,강남,강남대로,6.2,6.4,5.6,6.4,3.1,3.9,4.1
14,서울,강남,교대역,4.9,4.1,4.1,5.1,5.1,4.7,6.4
15,서울,강남,남부터미널,6.0,5.3,3.2,4.1,8.6,8.6,11.0
16,서울,강남,논현역,16.9,17.1,14.4,7.8,8.1,8.1,8.1
17,서울,강남,도산대로,21.5,21.7,21.7,4.6,4.6,4.3,5.1
18,서울,강남,신사역,3.7,3.3,3.0,3.1,3.4,2.0,2.2
19,서울,강남,테헤란로,3.0,2.4,2.9,3.1,4.1,3.9,4.8
20,서울,여의도마포,여의도마포,3.7,3.7,3.9,4.2,4.7,4.7,4.4
21,서울,여의도마포,공덕역,3.4,3.4,3.1,2.7,2.7,2.5,2.6
22,서울,여의도마포,당산역,5.3,7.6,8.1,8.7,11.2,11.9,12.4
23,서울,여의도마포,여의도,3.3,3.1,3.3,4.1,4.5,4.4,4.2
24,서울,여의도마포,영등포역,7.5,7.3,8.5,6.4,7.3,7.1,6.0
25,서울,기타,기타,6.0,5.8,6.3,6.3,6.8,7.0,7.4
26,서울,기타,목동,1.8,0.8,0.9,0.9,2.1,2.7,3.0
27,서울,기타,사당,3.4,3.4,3.1,4.1,4.9,4.3,1.0
28,서울,기타,숙명여대,6.4,6.4,6.4,6.4,6.4,6.4,6.4
29,서울,기타,용산역,3.0,3.0,3.0,3.0,10.2,11.0,11.0
30,서울,기타,잠실/송파,8.9,8.9,4.6,4.7,4.7,4.7,5.1
31,서울,기타,잠실새내역,3.5,6.5,5.6,5.6,5.6,5.6,6.8
32,서울,기타,장안동,4.0,4.0,8.6,8.6,8.6,13.5,17.5
33,서울,기타,천호,8.7,8.6,11.2,12.1,11.7,10.3,11.2
34,서울,기타,홍대/합정,5.8,5.8,5.8,5.3,4.3,5.0,6.1
35,서울,기타,화곡,16.7,16.7,16.7,13.7,13.7,13.7,13.7
36,부산,부산,부산,18.6,18.1,17.5,15.9,16.0,15.3,14.7
37,부산,남포동,남포동,19.5,19.3,16.0,15.4,17.4,19.1,18.7
38,부산,부산역,부산역,17.7,17.6,18.4,18.7,18.7,19.0,18.7
39,부산,부전시장,부전시장,14.4,14.4,15.6,15.6,15.3,15.8,15.8
