No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
1,전국,전국,전국,12.7,13.0,13.2,13.4,13.6,13.8,14.1
2,서울,서울,서울,8.7,8.9,8.9,8.7,8.9,9.1,9.3
3,서울,도심,도심,13.2,12.3,12.5,11.9,11.0,11.3,10.2
4,서울,도심,광화문,16.3,14.8,14.8,12.9,8.0,8.0,5.2
5,서울,도심,남대문,15.0,15.0,12.4,17.2,18.3,18.5,14.6
6,서울,도심,동대문,13.7,14.9,14.5,15.7,14.3,15.8,15.3
7,서울,도심,명동,18.7,12.2,11.2,7.2,8.2,7.4,5.0
8,서울,도심,방산시장,13.4,14.1,17.7,19.8,19.8,19.8,21.1
9,서울,도심,북촌,6.2,6.2,4.4,9.1,1.9,1.9,1.9
10,서울,도심,서촌,14.2,16.0,16.0,16.0,10.1,10.1,10.1
11,서울,도심,시청,19.8,20.7,19.8,12.9,13.4,10.8,11.7
12,서울,도심,을지로,5.5,5.5,5.5,5.5,5.5,5.5,6.8
13,서울,도심,종로,7.0,6.3,7.7,7.1,6.9,8.5,8.5
14,서울,도심,충무로,13.9,13.9,22.5,16.4,16.4,15.0,11.2
15,서울,강남,강남,8.4,8.7,8.9,8.8,9.3,9.7,10.7
16,서울,강남,강남대로,10.3,12.1,12.5,7.2,5.0,6.3,6.9
17,서울,강남,교대역,4.7,5.1,4.2,2.6,2.9,2.9,2.9
18,서울,강남,남부터미널,4.7,3.8,3.8,5.6,4.2,5.2,5.2
19,서울,강남,논현역,12.8,14.2,16.6,13.0,13.0,13.7,13.6
20,서울,강남,도산대로,6.4,8.0,8.0,6.5,9.6,7.2,8.5
21,서울,강남,방배역/내방역,5.9,7.6,6.7,5.9,5.9,8.8,8.5
22,서울,강남,서래마을,3.6,1.9,1.9,1.9,2.7,6.1,7.4
23,서울,강남,신사역,16.1,14.4,14.3,13.3,14.8,15.6,17.6
24,서울,강남,압구정,2.7,2.7,2.8,2.8,2.8,5.8,7.8
25,서울,강남,양재말죽거리,3.2,3.1,2.7,5.8,8.3,3.9,7.2
26,서울,강남,양재역,12.9,13.7,14.9,15.3,16.9,9.9,13.8
27,서울,강남,청담,12.1,12.7,13.8,24.0,23.6,27.4,29.9
28,서울,강남,테헤란로,6.6,6.6,7.1,7.3,8.1,8.9,9.0
29,서울,강남,학동/강남구청역,11.4,10.6,10.5,12.8,16.7,16.8,11.9
30,서울,영등포신촌,영등포신촌,8.7,9.2,9.8,9.4,9.3,8.7,8.5
31,서울,영등포신촌,공덕역,7.4,8.7,9.4,9.8,10.8,6.4,5.8
32,서울,영등포신촌,당산역,4.7,4.7,5.9,7.3,7.3,7.3,7.3
33,서울,영등포신촌,동교/연남,2.6,2.6,3.4,2.9,3.3,4.0,4.5
34,서울,영등포신촌,망원역,4.7,5.6,4.7,5.1,5.1,1.3,1.8
35,서울,영등포신촌,신촌/이대,11.5,12.9,13.8,11.3,11.9,13.3,12.3
36,서울,영등포신촌,영등포역,13.1,13.1,13.1,14.0,13.4,12.7,11.7
37,서울,영등포신촌,홍대/합정,9.5,9.3,10.6,9.4,8.3,8.2,8.7
38,서울,기타,기타,7.9,8.2,8.0,7.8,7.9,8.3,8.5
39,서울,기타,가락시장,12.1,12.1,12.1,10.2,10.2,11.8,11.2
