No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,임대료,임대료,임대료,임대료,임대료,임대료,임대료
No,지역,지역,지역,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡
1,전국,전국,전국,26.5,26.5,26.5,26.5,26.5,26.6,26.6
2,서울,서울,서울,54.8,54.9,55.1,55.4,55.7,56.0,56.4
3,서울,도심,도심,86.1,86.4,86.4,86.5,86.8,87.4,88.9
4,서울,도심,광화문,91.4,91.4,90.6,85.4,85.5,85.7,86.2
5,서울,도심,남대문,83.2,83.2,83.1,86.7,87.3,87.7,90.5
6,서울,도심,동대문,49.8,49.8,49.6,49.6,49.6,49.6,49.7
7,서울,도심,명동,198.6,200.5,201.4,202.3,206.6,210.3,215.3
8,서울,도심,방산시장,53.3,53.3,53.2,50.8,50.7,50.8,50.7
9,서울,도심,북촌,61.5,61.6,60.9,61.2,61.2,61.7,62.3
10,서울,도심,서촌,52.1,52.6,52.6,52.7,53.2,53.6,54.2
11,서울,도심,시청,71.4,71.4,71.4,71.4,66.9,67.2,68.1
12,서울,도심,을지로,65.1,65.1,65.0,64.8,64.9,65.2,65.7
13,서울,도심,종로,79.4,79.5,79.4,79.5,79.6,79.8,80.6
14,서울,도심,충무로,48.7,48.8,48.5,48.4,48.5,48.6,48.6
15,서울,강남,강남,62.1,62.4,62.7,63.6,64.3,64.8,65.2
16,서울,강남,강남대로,116.8,117.0,117.5,122.2,126.1,127.1,128.4
17,서울,강남,교대역,34.5,34.6,34.9,35.0,35.4,35.5,35.7
18,서울,강남,남부터미널,36.8,36.9,37.1,37.2,37.4,37.5,37.7
19,서울,강남,논현역,53.6,53.7,54.0,54.0,54.2,54.3,54.7
20,서울,강남,도산대로,55.6,55.7,55.8,55.8,56.0,56.1,56.2
21,서울,강남,방배역/내방역,43.1,43.1,43.2,43.2,43.3,43.5,43.7
22,서울,강남,서래마을,45.8,45.8,45.9,46.0,46.0,46.0,46.3
23,서울,강남,신사역,91.9,93.3,93.6,93.7,93.7,93.8,93.8
24,서울,강남,압구정,52.6,52.8,53.9,54.6,55.7,56.4,57.1
25,서울,강남,양재말죽거리,42.2,42.4,42.5,42.6,42.6,42.8,42.9
26,서울,강남,양재역,41.8,42.0,42.1,42.2,42.3,42.5,42.7
27,서울,강남,청담,61.9,62.1,62.3,62.4,63.0,64.9,65.2
